Name,Graph Databases,Graph Neural Networks,NLP,Query Optimization,Semantic Embeddings,Data Fusion ,Domain Specific,Agentic,
https://arxiv.org/abs/2408.08921,x,,,,,,x,,Read
https://arxiv.org/abs/2402.07630,x,x,x,x,,,x,,Read
https://arxiv.org/abs/2405.16506,x,,,,,,x,,Read
https://arxiv.org/abs/2408.07611,x,,x,x,x,,,,Read
https://aclanthology.org/2024.acl-long.115/,x,,x,,,x,x,,Read
https://arxiv.org/abs/2406.11460,,,,x,,,x,,Read
https://link.springer.com/article/10.1186/s40494-024-01231-3,x,x,x,x,x,,x,,Read
https://arxiv.org/abs/2408.04948,x,x,,,x,,x,x,Read
https://arxiv.org/abs/2405.15436,x,,x,,,,x,,Didnt Yield
https://openreview.net/forum?id=McHtKDi5h9,x,,,,,,x,,Didnt Yield
https://arxiv.org/abs/2407.21055,x,x,,,,,,,Read
https://arxiv.org/abs/2410.02721,x,,x,x,x,,x,,Read
https://arxiv.org/abs/2404.12457,,,x,,,,x,,Read
https://aclanthology.org/2023.ijcnlp-main.65.pdf,x,,x,x,,,,,Read
https://arxiv.org/abs/2408.08535,x,,x,x,,,x,,Read
https://arxiv.org/abs/2408.04187,x,,x,x,,,x,,Read
https://repositorio.comillas.edu/xmlui/handle/11531/88114,,,,,,,,,
https://conferences.big.tuwien.ac.at/biweek2024/pdfs/biweek2024_paper_118.pdf,,,,,,,,,
https://www.theseus.fi/bitstream/handle/10024/864054/Raja_Komal.pdf?sequence=2,,,,,,,,,
